Days,Open,High,Low,Close,Volume
6695.0,18.541000,19.573999,18.391001,19.533001,572049000
6696.0,19.400000,19.825001,19.132999,19.601999,475751000
6697.0,19.923000,20.400000,18.750999,20.334000,648855000
6698.0,19.867001,19.924999,18.500000,18.844000,626331000
6699.0,18.736000,19.511999,17.990000,18.674999,633297000
6702.0,18.034000,18.254999,16.827000,16.950001,644455000
6703.0,17.688999,18.198000,17.025000,17.594999,761474000
6704.0,17.347000,17.753000,16.568001,16.629999,670167000
6705.0,16.219000,16.788000,15.567000,16.174999,708728000
6706.0,16.788000,17.927999,16.593000,17.705999,670437000
6709.0,17.509001,17.788000,17.106001,17.264000,521446000
6710.0,18.073999,18.371000,17.634001,18.177000,585830000
6711.0,17.705000,18.118000,16.864000,16.938000,545161000
6712.0,16.937000,17.687000,16.733999,17.124001,621310000
6713.0,17.332001,17.410000,15.755000,16.694000,739105000
6716.0,16.274000,16.915001,16.179001,16.898001,639889000
6717.0,16.510000,16.597000,15.780000,16.153999,588550000
6718.0,16.020000,17.111000,16.000000,16.975000,781132000
6719.0,16.035999,18.091999,16.021999,17.851000,996575000
6720.0,18.186001,18.881001,18.100000,18.811001,738379000
6724.0,18.980000,19.200001,18.350000,18.672001,664100000
6725.0,18.724001,19.052999,18.122000,18.320000,544514000
6726.0,18.292000,19.618999,18.198000,19.591999,648656000
6727.0,19.082001,19.332001,18.521999,18.719999,598779000
6730.0,19.139000,19.337000,18.563999,18.785999,422406000
6731.0,18.472000,19.000000,18.188000,18.926001,388914000
6732.0,18.799000,19.180000,18.535000,18.648001,363252000
6733.0,18.481001,18.933001,18.041000,18.048000,395574000
6734.0,17.600000,17.697001,16.868999,16.974001,465248000
6737.0,16.000000,16.312000,15.606000,15.647000,604153000
6738.0,15.731000,16.066000,15.412000,15.836000,469680000
6739.0,16.094999,16.868000,15.926,16.527000,563936000
6740.0,15.860000,15.942000,15.401,15.601000,545749000
6741.0,15.648000,15.995000,15.328,15.880000,630334000
6745.0,16.475000,17.007999,16.407,16.566000,483089000
6746.0,16.226000,16.662001,16.180,16.360001,437135000
6747.0,16.518999,16.584999,15.853000,16.225000,463680000
6748.0,16.500000,17.139999,16.309999,17.125999,472153000
6751.0,17.312000,17.330000,16.625999,16.868999,427968000
6752.0,16.900000,17.202000,15.945000,15.982000,461149000
6753.0,15.814000,15.820000,15.170000,15.542000,482352000
